==============================================================================================================
DETAILED PER-RUN LOG   DECC-G   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-27_08.50.45
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     6.0592885117822090e+12   nan                      3000000       max_evaluations         1021.1177 
2      940243839     3.2002640222968184e+12   nan                      3000000       max_evaluations         997.8806  
3      941243876     2.3455421924309478e+12   nan                      3000000       max_evaluations         1016.4754 
4      942243913     3.7086518769862144e+12   nan                      3000000       max_evaluations         990.5510  
5      943243950     5.4288390177720752e+12   nan                      3000000       max_evaluations         995.2646  
6      944243987     5.4003197840896680e+12   nan                      3000000       max_evaluations         1017.3490 
7      945244024     4.4000857605821270e+12   nan                      3000000       max_evaluations         994.4514  
8      946244061     2.6209958080693701e+12   nan                      3000000       max_evaluations         1017.1945 
9      947244098     9.1315399187018359e+12   nan                      3000000       max_evaluations         1019.3467 
10     948244135     7.1730594309208340e+12   nan                      3000000       max_evaluations         994.4914  
11     949244172     5.1837286378740488e+12   nan                      3000000       max_evaluations         997.6986  
12     950244209     3.2678165964897417e+12   nan                      3000000       max_evaluations         1017.3183 
13     951244246     5.8897696303612939e+12   nan                      3000000       max_evaluations         1021.1617 
14     952244283     5.5772737062799131e+12   nan                      3000000       max_evaluations         953.4926  
15     953244320     6.9426217680322754e+12   nan                      3000000       max_evaluations         951.0071  
16     954244357     6.9275972013217949e+12   nan                      3000000       max_evaluations         955.5872  
17     955244394     4.1583606097277549e+12   nan                      3000000       max_evaluations         954.2357  
18     956244431     6.3640236527167900e+12   nan                      3000000       max_evaluations         955.0381  
19     957244468     6.0872309398173594e+12   nan                      3000000       max_evaluations         953.6001  
20     958244505     5.5522718223132031e+12   nan                      3000000       max_evaluations         957.3307  
21     959244542     4.1127355230829956e+12   nan                      3000000       max_evaluations         954.8603  
22     960244579     6.3977221612187051e+12   nan                      3000000       max_evaluations         956.7319  
23     961244616     3.7524313078675371e+12   nan                      3000000       max_evaluations         955.2723  
24     962244653     8.5932054271825557e+12   nan                      3000000       max_evaluations         954.6862  
25     963244690     8.1579281487907588e+12   nan                      3000000       max_evaluations         953.9440  

